City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
347,rostovka,55.3842,71.8891,4.46,86,100,6.61,RU,1698225925
348,castillos,-34.1667,-53.8333,12.88,77,85,6.93,UY,1698225925
349,hotan,37.0997,79.9269,21.55,11,0,2.56,CN,1698225926
350,lengshuijiang,27.6881,111.4294,22.57,81,99,1.97,CN,1698225927
351,tres arroyos,-38.3739,-60.2798,3.63,89,0,1.89,AR,1698225927
352,yung shue wan,22.2333,114.1167,29.63,77,100,6.17,HK,1698225928
353,trekhgornyy,54.815,58.4592,-2.56,86,100,3.53,RU,1698225928
354,kampot,10.6167,104.1833,30.03,72,79,1.99,KH,1698225929
355,aykhal,66.0,111.5,-9.69,92,98,8.06,RU,1698225930
356,saldanha,-33.0117,17.9442,25.03,61,4,4.82,ZA,1698225931
357,maquoketa,42.0689,-90.6657,16.3,82,100,5.25,US,1698225904
358,ponta delgada,37.7333,-25.6667,21.4,88,40,8.75,PT,1698225932
359,aswan,24.0934,32.907,36.24,19,0,1.75,EG,1698225932
360,kharkhorin,47.1975,102.8238,8.45,26,97,1.83,MN,1698225933
